feature,true_mean,true_median,true_std,biased_mean,biased_median,biased_std,mean_shift,median_shift,ks_stat,ks_pvalue,emd_wasserstein,js_divergence
hostgal_photoz,0.628,0.578,0.3785,0.4867,0.46,0.2589,-0.1414,-0.118,0.212653,0.0,0.141358,0.180257
hostgal_photoz_err,0.1437,0.035,0.2498,0.1643,0.034,0.2728,0.0206,-0.001,0.037974,0.0,0.021714,0.046
ra,171.1108,164.707,111.0343,171.1215,164.5313,108.9187,0.0107,-0.1757,0.01367,9.933182075669644e-77,2.315647,0.019932
decl,-26.0552,-24.953,17.5492,-26.0158,-24.7886,17.5912,0.0394,0.1644,0.002256,0.016699589105626227,0.069382,0.006836
ddf_bool,0.0075,0.0,0.0864,0.0041,0.0,0.0642,-0.0034,0.0,0.003372,4.5410089685118273e-05,0.003372,0.015776
hostgal_specz,-8.7573,-9.0,1.487,-8.6574,-9.0,1.754,0.0999,0.0,0.010805,4.271272937300128e-48,0.10014,0.025208
distmod,42.5225,42.643,1.3509,41.9026,42.045,1.29,-0.6199,-0.598,0.212664,0.0,0.619885,0.179878
mwebv,0.0777,0.043,0.1077,0.0853,0.046,0.1202,0.0076,0.003,0.022804,8.830154727688683e-213,0.007603,0.02337
true_z,0.577,0.565,0.265,0.4787,0.467,0.2183,-0.0982,-0.098,0.189779,0.0,0.098241,0.159119
true_distmod,42.3824,42.579,1.2363,41.8948,42.081,1.2403,-0.4876,-0.498,0.189787,0.0,0.487607,0.159222
